"State","Condition","Measure Name","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"PA","Surgical Care Improvement Project","Prophylactic Antibiotic Initiated Within One Hour Prior to Surgical Incision","OP_6","98","","01/01/2014","12/31/2014"
"PR","Surgical Care Improvement Project","Prophylactic Antibiotic Initiated Within One Hour Prior to Surgical Incision","OP_6","Not Available","5 - Results are not available for this reporting period.","01/01/2014","12/31/2014"
"RI","Surgical Care Improvement Project","Prophylactic Antibiotic Initiated Within One Hour Prior to Surgical Incision","OP_6","99","","01/01/2014","12/31/2014"
"SC","Surgical Care Improvement Project","Prophylactic Antibiotic Initiated Within One Hour Prior to Surgical Incision","OP_6","99","","01/01/2014","12/31/2014"
"SD","Surgical Care Improvement Project","Prophylactic Antibiotic Initiated Within One Hour Prior to Surgical Incision","OP_6","99","","01/01/2014","12/31/2014"
"TN","Surgical Care Improvement Project","Prophylactic Antibiotic Initiated Within One Hour Prior to Surgical Incision","OP_6","98","","01/01/2014","12/31/2014"
"TX","Surgical Care Improvement Project","Prophylactic Antibiotic Initiated Within One Hour Prior to Surgical Incision","OP_6","99","","01/01/2014","12/31/2014"
"UT","Surgical Care Improvement Project","Prophylactic Antibiotic Initiated Within One Hour Prior to Surgical Incision","OP_6","98","","01/01/2014","12/31/2014"
"VA","Surgical Care Improvement Project","Prophylactic Antibiotic Initiated Within One Hour Prior to Surgical Incision","OP_6","98","","01/01/2014","12/31/2014"
"VI","Surgical Care Improvement Project","Prophylactic Antibiotic Initiated Within One Hour Prior to Surgical Incision","OP_6","72","","01/01/2014","12/31/2014"
"VT","Surgical Care Improvement Project","Prophylactic Antibiotic Initiated Within One Hour Prior to Surgical Incision","OP_6","97","","01/01/2014","12/31/2014"
"WA","Surgical Care Improvement Project","Prophylactic Antibiotic Initiated Within One Hour Prior to Surgical Incision","OP_6","98","","01/01/2014","12/31/2014"
"WI","Surgical Care Improvement Project","Prophylactic Antibiotic Initiated Within One Hour Prior to Surgical Incision","OP_6","98","","01/01/2014","12/31/2014"
"WV","Surgical Care Improvement Project","Prophylactic Antibiotic Initiated Within One Hour Prior to Surgical Incision","OP_6","98","","01/01/2014","12/31/2014"
"WY","Surgical Care Improvement Project","Prophylactic Antibiotic Initiated Within One Hour Prior to Surgical Incision","OP_6","97","","01/01/2014","12/31/2014"
"AK","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","98","","01/01/2014","12/31/2014"
"AL","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","98","","01/01/2014","12/31/2014"
"AR","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","98","","01/01/2014","12/31/2014"
"AS","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","Not Available","5 - Results are not available for this reporting period.","01/01/2014","12/31/2014"
"AZ","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","98","","01/01/2014","12/31/2014"
"CA","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","98","","01/01/2014","12/31/2014"
"CO","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","99","","01/01/2014","12/31/2014"
"CT","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","98","","01/01/2014","12/31/2014"
"DC","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","98","","01/01/2014","12/31/2014"
"DE","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","99","","01/01/2014","12/31/2014"
"FL","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","98","","01/01/2014","12/31/2014"
"GA","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","99","","01/01/2014","12/31/2014"
"GU","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","Not Available","5 - Results are not available for this reporting period.","01/01/2014","12/31/2014"
"HI","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","99","","01/01/2014","12/31/2014"
"IA","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","99","","01/01/2014","12/31/2014"
"ID","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","98","","01/01/2014","12/31/2014"
"IL","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","98","","01/01/2014","12/31/2014"
"IN","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","99","","01/01/2014","12/31/2014"
"KS","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","99","","01/01/2014","12/31/2014"
"KY","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","98","","01/01/2014","12/31/2014"
"LA","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","98","","01/01/2014","12/31/2014"
"MA","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","98","","01/01/2014","12/31/2014"
"MD","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","97","","01/01/2014","12/31/2014"
"ME","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","99","","01/01/2014","12/31/2014"
"MI","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","98","","01/01/2014","12/31/2014"
"MN","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","99","","01/01/2014","12/31/2014"
"MO","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","99","","01/01/2014","12/31/2014"
"MP","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","Not Available","5 - Results are not available for this reporting period.","01/01/2014","12/31/2014"
"MS","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","98","","01/01/2014","12/31/2014"
"MT","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","99","","01/01/2014","12/31/2014"
"NC","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","98","","01/01/2014","12/31/2014"
"ND","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","98","","01/01/2014","12/31/2014"
"NE","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","98","","01/01/2014","12/31/2014"
"NH","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","99","","01/01/2014","12/31/2014"
"NJ","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","98","","01/01/2014","12/31/2014"
"NM","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","99","","01/01/2014","12/31/2014"
"NV","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","98","","01/01/2014","12/31/2014"
"NY","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","98","","01/01/2014","12/31/2014"
"OH","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","98","","01/01/2014","12/31/2014"
"OK","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","98","","01/01/2014","12/31/2014"
"OR","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","98","","01/01/2014","12/31/2014"
"PA","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","99","","01/01/2014","12/31/2014"
"PR","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","Not Available","5 - Results are not available for this reporting period.","01/01/2014","12/31/2014"
"RI","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","99","","01/01/2014","12/31/2014"
"SC","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","99","","01/01/2014","12/31/2014"
"SD","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","99","","01/01/2014","12/31/2014"
"TN","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","98","","01/01/2014","12/31/2014"
"TX","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","98","","01/01/2014","12/31/2014"
"UT","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","98","","01/01/2014","12/31/2014"
"VA","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","99","","01/01/2014","12/31/2014"
"VI","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","100","","01/01/2014","12/31/2014"
"VT","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","99","","01/01/2014","12/31/2014"
"WA","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","99","","01/01/2014","12/31/2014"
"WI","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","99","","01/01/2014","12/31/2014"
"WV","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","98","","01/01/2014","12/31/2014"
"WY","Surgical Care Improvement Project","Prophylactic Antibiotic Selection for Surgical Patients","OP_7","96","","01/01/2014","12/31/2014"
"AK","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","98","","01/01/2014","12/31/2014"
"AL","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","98","","01/01/2014","12/31/2014"
"AR","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","98","","01/01/2014","12/31/2014"
"AS","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","Not Available","5 - Results are not available for this reporting period.","01/01/2014","12/31/2014"
"AZ","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","97","","01/01/2014","12/31/2014"
"CA","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","98","","01/01/2014","12/31/2014"
"CO","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","98","","01/01/2014","12/31/2014"
"CT","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","98","","01/01/2014","12/31/2014"
"DC","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","93","","01/01/2014","12/31/2014"
"DE","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","99","","01/01/2014","12/31/2014"
"FL","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","99","","01/01/2014","12/31/2014"
"GA","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","98","","01/01/2014","12/31/2014"
"GU","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","60","","01/01/2014","12/31/2014"
"HI","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","99","","01/01/2014","12/31/2014"
"IA","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","98","","01/01/2014","12/31/2014"
"ID","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","98","","01/01/2014","12/31/2014"
"IL","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","99","","01/01/2014","12/31/2014"
"IN","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","99","","01/01/2014","12/31/2014"
"KS","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","98","","01/01/2014","12/31/2014"
"KY","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","98","","01/01/2014","12/31/2014"
"LA","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","97","","01/01/2014","12/31/2014"
"MA","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","99","","01/01/2014","12/31/2014"
"MD","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","98","","01/01/2014","12/31/2014"
"ME","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","99","","01/01/2014","12/31/2014"
"MI","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","99","","01/01/2014","12/31/2014"
"MN","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","99","","01/01/2014","12/31/2014"
"MO","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","98","","01/01/2014","12/31/2014"
"MP","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","Not Available","5 - Results are not available for this reporting period.","01/01/2014","12/31/2014"
"MS","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","97","","01/01/2014","12/31/2014"
"MT","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","98","","01/01/2014","12/31/2014"
"NC","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","99","","01/01/2014","12/31/2014"
"ND","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","98","","01/01/2014","12/31/2014"
"NE","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","98","","01/01/2014","12/31/2014"
"NH","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","99","","01/01/2014","12/31/2014"
"NJ","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","98","","01/01/2014","12/31/2014"
"NM","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","96","","01/01/2014","12/31/2014"
"NV","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","97","","01/01/2014","12/31/2014"
"NY","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","98","","01/01/2014","12/31/2014"
"OH","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","99","","01/01/2014","12/31/2014"
"OK","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","98","","01/01/2014","12/31/2014"
"OR","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","98","","01/01/2014","12/31/2014"
"PA","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","99","","01/01/2014","12/31/2014"
"PR","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","81","","01/01/2014","12/31/2014"
"RI","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","97","","01/01/2014","12/31/2014"
"SC","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","98","","01/01/2014","12/31/2014"
"SD","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","98","","01/01/2014","12/31/2014"
"TN","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","98","","01/01/2014","12/31/2014"
"TX","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","98","","01/01/2014","12/31/2014"
"UT","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","98","","01/01/2014","12/31/2014"
"VA","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","99","","01/01/2014","12/31/2014"
"VI","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","70","","01/01/2014","12/31/2014"
"VT","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","98","","01/01/2014","12/31/2014"
"WA","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","98","","01/01/2014","12/31/2014"
"WI","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","99","","01/01/2014","12/31/2014"
"WV","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","99","","01/01/2014","12/31/2014"
"WY","Surgical Care Improvement Project","Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period","SCIP_CARD_2","94","","01/01/2014","12/31/2014"
"AK","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","98","","01/01/2014","12/31/2014"
"AL","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","99","","01/01/2014","12/31/2014"
"AR","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","99","","01/01/2014","12/31/2014"
"AS","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","Not Available","5 - Results are not available for this reporting period.","01/01/2014","12/31/2014"
"AZ","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","99","","01/01/2014","12/31/2014"
"CA","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","99","","01/01/2014","12/31/2014"
"CO","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","99","","01/01/2014","12/31/2014"
"CT","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","98","","01/01/2014","12/31/2014"
"DC","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","98","","01/01/2014","12/31/2014"
"DE","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","99","","01/01/2014","12/31/2014"
"FL","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","99","","01/01/2014","12/31/2014"
"GA","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","99","","01/01/2014","12/31/2014"
"GU","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","90","","01/01/2014","12/31/2014"
"HI","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","100","","01/01/2014","12/31/2014"
"IA","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","96","","01/01/2014","12/31/2014"
"ID","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","99","","01/01/2014","12/31/2014"
"IL","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","99","","01/01/2014","12/31/2014"
"IN","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","99","","01/01/2014","12/31/2014"
"KS","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","99","","01/01/2014","12/31/2014"
"KY","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","99","","01/01/2014","12/31/2014"
"LA","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","98","","01/01/2014","12/31/2014"
"MA","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","99","","01/01/2014","12/31/2014"
"MD","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","99","","01/01/2014","12/31/2014"
"ME","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","99","","01/01/2014","12/31/2014"
"MI","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","99","","01/01/2014","12/31/2014"
"MN","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","98","","01/01/2014","12/31/2014"
"MO","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","99","","01/01/2014","12/31/2014"
"MP","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","Not Available","5 - Results are not available for this reporting period.","01/01/2014","12/31/2014"
"MS","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","99","","01/01/2014","12/31/2014"
"MT","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","99","","01/01/2014","12/31/2014"
"NC","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","99","","01/01/2014","12/31/2014"
"ND","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","99","","01/01/2014","12/31/2014"
"NE","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","98","","01/01/2014","12/31/2014"
"NH","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","99","","01/01/2014","12/31/2014"
"NJ","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","99","","01/01/2014","12/31/2014"
"NM","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","99","","01/01/2014","12/31/2014"
"NV","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","99","","01/01/2014","12/31/2014"
"NY","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","99","","01/01/2014","12/31/2014"
"OH","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","99","","01/01/2014","12/31/2014"
"OK","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","98","","01/01/2014","12/31/2014"
"OR","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","98","","01/01/2014","12/31/2014"
"PA","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","99","","01/01/2014","12/31/2014"
"PR","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","90","","01/01/2014","12/31/2014"
"RI","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","99","","01/01/2014","12/31/2014"
"SC","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","99","","01/01/2014","12/31/2014"
"SD","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","99","","01/01/2014","12/31/2014"
"TN","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","99","","01/01/2014","12/31/2014"
"TX","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","99","","01/01/2014","12/31/2014"
"UT","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","99","","01/01/2014","12/31/2014"
"VA","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","99","","01/01/2014","12/31/2014"
"VI","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","95","","01/01/2014","12/31/2014"
"VT","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","98","","01/01/2014","12/31/2014"
"WA","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","99","","01/01/2014","12/31/2014"
"WI","Surgical Care Improvement Project","Prophylactic antibiotic received within 1 hour prior to surgical incision","SCIP_INF_1","99","","01/01/2014","12/31/2014"
