ASC_Name,Provider_ID,NPI,City,State,ZIP_Code,ASC6_SSChecklist,ASC_7_Volume,ASC_7_Gastrointestinal,ASC_7_Eye,ASC_7_Nervous_System,ASC_7_Musculoskeletal,ASC_7_Skin,ASC_7_Genitourinary,ASC7_Footnote,ASC_6_7_Encounter_Start_Date,ASC_6_7_Encounter_End_Date
Medical Center Surgery Associates,10C0001148,1275536393,Brooksville,FL,34613,YES,1789,575,724,81,288,116,5,,01/01/2012,12/31/2012
Surgery Center of Key West,10C0001520,1275719981,Key West,FL,33040,YES,2431,1455,383,388,93,1,111,,01/01/2012,12/31/2012
"Eye Surgery Center of North Florida, LLC",10C0001500,1275740839,Jacksonville,FL,32256,YES,1367,0,1367,0,0,0,0,,01/01/2012,12/31/2012
South Palm Ambulatory Surgery Center,10C0001478,1285642652,Boca Raton,FL,33496,YES,15094,14663,296,7,127,1,0,,01/01/2012,12/31/2012
Tlc Outpatient Surgery and Laser Center,10C0001512,1285815522,Lady Lake,FL,32159,YES,2808,0,285,997,1197,329,0,,01/01/2012,12/31/2012
Westchase Surgery Center,10C0001543,1285874065,Tampa,FL,33626,YES,246,0,0,0,188,0,58,,01/01/2012,12/31/2012
Central Florida Endoscopy and Surgical Institute of,10C0001459,1295710317,Ocala,FL,34471,YES,4424,4399,25,0,0,0,0,,01/01/2012,12/31/2012
"Waterside Ambulatory Surgical Center, Inc.",10C0001149,1295739217,West Palm Be,FL,33407,YES,3652,3652,0,0,0,0,0,,01/01/2012,12/31/2012
"Memorial Surgicare, LTD",10C0001484,1295759637,Jacksonville,FL,32216,YES,3087,682,678,98,1082,46,501,,01/01/2012,12/31/2012
Cape Coral Surgery Center,10C0001466,1295772101,Cape Coral,FL,33904,YES,7639,5938,0,666,1003,7,25,,01/01/2012,12/31/2012
"Gold Coast Surgery Center, LLC",10C0001504,1295860302,Englewood,FL,34223,YES,1439,1439,0,0,0,0,0,,01/01/2012,12/31/2012
"Crane Creek Surgical Partners, LLC",10C0001548,1306087135,Melbourne,FL,32901,YES,2109,40,0,1756,89,1,223,,01/01/2012,12/31/2012
South Broward Endoscopy,10C0001453,1306833009,Cooper City,FL,33026,YES,8236,8236,0,0,0,0,0,,01/01/2012,12/31/2012
Palm Beach Outpatient Surgical Center,10C0001024,1306843867,Lake Worth,FL,33461,YES,2886,0,2886,0,0,0,0,,01/01/2012,12/31/2012
Park Pl Surgery Center,10C0001430,1306866173,Maitland,FL,32751,YES,2999,0,97,2642,192,28,40,,01/01/2012,12/31/2012
Carillon Surgery Center LLC,10C0001531,1316189095,St. Petersbu,FL,33716,YES,1383,78,120,187,993,5,0,,01/01/2012,12/31/2012
"Treasure Coast Urology Center, LLC",10C0001523,1316253438,Vero Beach,FL,32960,YES,585,0,0,241,0,4,340,,01/01/2012,12/31/2012
"Bayonet Point Surgery Center, LTD",10C0001433,1316900830,Hudson,FL,34667,YES,5343,3733,719,107,493,90,201,,01/01/2012,12/31/2012
"Florida Surgery Center Enterprises, LLC",10C0001496,1316973050,Tampa,FL,33603,YES,11735,3725,373,6942,265,51,379,,01/01/2012,12/31/2012
Grove Pl Surgery Center,10C0001391,1326045014,Vero Beach,FL,32960,YES,4807,38,0,2944,451,1374,0,,01/01/2012,12/31/2012
"St Lucy’s Outpatient Surgery Center, Inc.",10C0001085,1326047101,Port Charlot,FL,33952,YES,3306,0,3306,0,0,0,0,,01/01/2012,12/31/2012
"Updegraff Vision Laser and Surgery Center, LLC",10C0001396,1326170036,St. Petersbu,FL,33713,YES,2838,0,2838,0,0,0,0,,01/01/2012,12/31/2012
"Alamarcon Holdings, LLC",10C0001533,1326181314,Tallahassee,FL,32308,YES,178,0,48,10,28,92,0,,01/01/2012,12/31/2012
"Advanced Surgery Center of Orlando, LLC",10C0001573,1326309394,Orlando,FL,32819,YES,33,0,3,7,23,0,0,,01/01/2012,12/31/2012
St. Michaels Surgery Center,10C0001347,1336100189,Largo,FL,33770,YES,1278,0,1278,0,0,0,0,,01/01/2012,12/31/2012
"Promenades Surgery Center, LLC",10C0001376,1336181742,Port Charlot,FL,33952,YES,207,0,0,0,1,206,0,,01/01/2012,12/31/2012
"Sand Lake Surgicenter, LLC",10C0001507,1336445873,Orlando,FL,32819,YES,4351,2091,246,556,1422,36,0,,01/01/2012,12/31/2012
Endoscopy Center of Sarasota,10C0001216,1346207834,Sarasota,FL,34239,YES,1892,1892,0,0,0,0,0,,01/01/2012,12/31/2012
Bayview Surgery Center,10C0001339,1346213634,Sarasota,FL,34239,YES,6976,2941,0,4035,0,0,0,,01/01/2012,12/31/2012
"Lakeland Surgical & Diagnostic Center, LLP",10C0001272,1346244845,Lakeland,FL,33805,YES,16686,14524,24,310,1622,157,49,,01/01/2012,12/31/2012
Bascom Palmer Surgery Center,10C0001481,1346317039,Palm Beach G,FL,33418,YES,2591,0,2591,0,0,0,0,,01/01/2012,12/31/2012
Endo-Surgical Center of Florida,10C0001568,1356654610,Orlando,FL,32825,YES,4060,4060,0,0,0,0,0,,01/01/2012,12/31/2012
Tampa Bay Center for Specialized Surgery,10C0001072,1366499923,Tampa,FL,33607,YES,443,0,0,0,443,0,0,,01/01/2012,12/31/2012
"Tallahassee Orthopaedic Surgery Partners, LTD",10C0001411,1366524126,Tallahassee,FL,32308,YES,3383,0,2173,1210,0,0,0,,01/01/2012,12/31/2012
Largo Ambulatory Surgery Center,10C0001385,1366710741,Largo,FL,33770,YES,8774,0,8774,0,0,0,0,,01/01/2012,12/31/2012
"Columbia Eye and Specialty Surgery Center, LTD",10C0001055,1376507194,Tampa,FL,33608,YES,3988,0,3827,0,0,161,0,,01/01/2012,12/31/2012
"Florida Eye Clinic Ambulatory Surgical Center, Inc.",10C0001011,1376513440,Altamonte Sp,FL,32701,YES,6014,0,5849,0,0,165,0,,01/01/2012,12/31/2012
"The Orlando Fl Endoscopy ASC, LLC",10C0001414,1376518357,Orlando,FL,32806,YES,10473,10473,0,0,0,0,0,,01/01/2012,12/31/2012
"Cape Coral Eye Center, P.A.",10C0001071,1376553925,Cape Coral,FL,33904,YES,2587,0,2587,0,0,0,0,,01/01/2012,12/31/2012
Same Day Surgery Center,10C0001501,1376580498,Zephyrhills,FL,33542,YES,1233,0,1184,0,0,49,0,,01/01/2012,12/31/2012
"Florida Specialty Surgery Center, LLC",10C0001511,1376748228,St. Petersbu,FL,33709,YES,1824,0,0,918,906,0,0,,01/01/2012,12/31/2012
Surgicare of Miramar,10C0001545,1376779561,Miramar,FL,33027,YES,481,243,0,108,129,1,0,,01/01/2012,12/31/2012
"The Orlando Fl ASC, LLC",10C0001094,1386619708,Ocoee,FL,34761,YES,3910,3910,0,0,0,0,0,,01/01/2012,12/31/2012
Physicians Day Surgery Center,10C0001297,1386647402,Naples,FL,34108,YES,4202,489,446,1105,1644,304,214,,01/01/2012,12/31/2012
"Beraja Healthcare Corporation, Inc.",10C0001253,1386654630,Coral Gables,FL,33134,YES,4003,0,4003,0,0,0,0,,01/01/2012,12/31/2012
Suncoast Specialty Surgery Center,10C0001475,1386681161,New Port Ric,FL,34652,YES,2234,581,933,16,653,19,32,,01/01/2012,12/31/2012
Montgomery Eye Center,10C0001048,1386710937,Naples,FL,34103,YES,1734,0,1494,0,0,240,0,,01/01/2012,12/31/2012
Gaskins Eye Care & Surgery Center,10C0001044,1386792588,Naples,FL,34103,YES,450,0,449,0,1,0,0,,01/01/2012,12/31/2012
"Miami Surgery Center, LLC",10C0001519,1386821817,Miami,FL,33166,YES,793,76,0,126,553,11,27,,01/01/2012,12/31/2012
"Doctors Same Day Surgery Center, LTD",10C0001260,1396700159,Sarasota,FL,34233,YES,2986,5,32,1957,811,167,14,,01/01/2012,12/31/2012
"Tallahassee Neurosurgery Pain Management, LLC",10C0001457,1396702528,Tallahassee,FL,32308,YES,5237,0,0,5237,0,0,0,,01/01/2012,12/31/2012
Tampa Bay Surgery Center,10C0001442,1396796249,Tampa,FL,33607,YES,1973,46,439,366,376,547,199,,01/01/2012,12/31/2012
The Surgical Center of The Treasure Coast,10C0001395,1407812860,Port St. Luc,FL,34952,YES,2096,0,0,1153,840,7,96,,01/01/2012,12/31/2012
Eye Surgery & Laser Center,10C0001174,1407820962,Winter Haven,FL,33880,YES,6022,0,5724,0,0,298,0,,01/01/2012,12/31/2012
Surgery Center of Volusia,10C0001397,1407873292,Port Orange,FL,32129,YES,9249,7951,372,352,522,52,0,,01/01/2012,12/31/2012
"Surgical Licensed Ward Partners, LLP",10C0001210,1417041468,Orlando,FL,32806,YES,2305,2202,0,9,59,35,0,,01/01/2012,12/31/2012
"Baptist Medical Park Surgery Center, LLC",10C0001327,1417077090,Pensacola,FL,32514,YES,11288,4305,1875,4718,152,238,0,,01/01/2012,12/31/2012
"Mid-Florida Endoscopy & Surgery Center, LLC",10C0001547,1417190935,Ocala,FL,34471,YES,3169,1839,1330,0,0,0,0,,01/01/2012,12/31/2012
"Alliance Surgery Center, LLC",10C0001448,1417286428,Lake Mary,FL,32746,YES,3309,2721,0,352,49,0,187,,01/01/2012,12/31/2012
Jupiter Outpatient Center,10C0001360,1417903899,Jupiter,FL,33458,YES,12277,4935,141,6252,795,141,13,,01/01/2012,12/31/2012
"Winter Park Surgery, LP",10C0001194,1417912353,Winter Park,FL,32792,YES,9388,0,1,5321,4058,8,0,,01/01/2012,12/31/2012
"Clearwater Ambulatory Surgical Center, Inc.",10C0001169,1417949280,Clearwater,FL,33756,YES,2952,2952,0,0,0,0,0,,01/01/2012,12/31/2012
Delray Beach Surgery Center,10C0001236,1417994856,Delray Beach,FL,33445,YES,3813,463,2424,66,694,166,0,,01/01/2012,12/31/2012
"Outpatient Surgical Services, LTD",10C0001083,1427012202,Plantation,FL,33324,YES,12415,9652,387,839,705,147,685,,01/01/2012,12/31/2012
"Space Coast Surgical Center, LTD",10C0001132,1437112455,Merritt Isla,FL,32953,YES,4311,2,258,2901,1116,34,0,,01/01/2012,12/31/2012
"Orlando Surgicare, LTD",10C0001032,1437113206,Orlando,FL,32806,YES,4080,18,452,1609,821,68,1112,,01/01/2012,12/31/2012
Emerald Coast Surgery Center,10C0001189,1437114378,Fort Walton,FL,32547,YES,8037,3602,782,1691,646,937,379,,01/01/2012,12/31/2012
Fort Myers Eye Surgery Center LLC,10C0001546,1437482924,Fort Myers,FL,33907,YES,1100,0,925,0,0,175,0,,01/01/2012,12/31/2012
Bgc Holdings Inc.,10C0001389,1447226394,Jacksonville,FL,32256,YES,24153,24153,0,0,0,0,0,,01/01/2012,12/31/2012
"The Eye Center of North Florida, PA",10C0001326,1447279369,Panama City,FL,32405,YES,2726,0,2441,0,0,285,0,,01/01/2012,12/31/2012
Total Back Care Center Inc.,10C0001247,1447309018,Naples,FL,34102,YES,0,0,0,0,0,0,0,,01/01/2012,12/31/2012
Outpatient Surgery Center of Boca,10C0001300,1457323107,Boca Raton,FL,33486,YES,2045,0,1847,0,0,198,0,,01/01/2012,12/31/2012
Surgery Center of Ocala,10C0001246,1457354300,Ocala,FL,34474,YES,4037,352,784,583,1184,169,965,,01/01/2012,12/31/2012
Fleming Island Surgery Center,10C0001483,1457428005,Orange Park,FL,32003,YES,11372,7665,967,309,1086,621,724,,01/01/2012,12/31/2012
"Gladiolus Surgery Center, LLC",10C0001372,1457448912,Fort Myers,FL,33908,YES,1719,54,0,53,813,50,749,,01/01/2012,12/31/2012
Park Creek Surgery Center,10C0001486,1467405837,Coconut Cree,FL,33073,YES,5184,1147,0,3088,783,90,76,,01/01/2012,12/31/2012
Eye Care and Surgery Center of Ft. Lauderdale,10C0001050,1467458281,Ft. Lauderda,FL,33304,YES,623,0,623,0,0,0,0,,01/01/2012,12/31/2012
"North Florida Surgery Center, Inc.",10C0001262,1467582437,Lake City,FL,32025,YES,3305,2618,681,0,0,6,0,,01/01/2012,12/31/2012
Mnh GI Surgical Center,10C0001303,1467601625,Maitland,FL,32751,YES,8175,8172,0,0,3,0,0,,01/01/2012,12/31/2012
Southpoint Surgery Center,10C0001479,1477500767,Jacksonville,FL,32216,YES,1669,0,1534,4,17,4,110,,01/01/2012,12/31/2012
"Palms West Surgery Center, LTD",10C0001470,1477503175,Loxahatchee,FL,33470,YES,3487,2698,1,370,304,68,46,,01/01/2012,12/31/2012
"Lakeside Surgery, LTD",10C0001284,1477507168,Orlando,FL,32803,YES,23269,0,23269,0,0,0,0,,01/01/2012,12/31/2012
University Eye Surgery Center,10C0001308,1477526143,Ft. Myers,FL,33907,YES,1179,0,1177,0,0,2,0,,01/01/2012,12/31/2012
"Surgery Center of Aventura, LTD",10C0001387,1477594422,Aventura,FL,33180,YES,5674,3918,0,1194,537,9,16,,01/01/2012,12/31/2012
Nawada Plastic Surgery,10C0001359,1477731149,Winter Haven,FL,33880,YES,1,0,0,0,0,1,0,,01/01/2012,12/31/2012
Key Biscayne Surgery Center LLC,10C0001556,1477876696,Key Biscayne,FL,33149,YES,502,0,0,32,253,217,0,,01/01/2012,12/31/2012
The Surgery Center of Coral Gables,10C0001211,1487627642,Coral Gables,FL,33134,YES,9214,0,9214,0,0,0,0,,01/01/2012,12/31/2012
"Alpha Ambulatory Surgery, Inc.",10C0001150,1487642195,Tallahassee,FL,32308,YES,107,0,107,0,0,0,0,,01/01/2012,12/31/2012
Seascape Surgery Center,10C0001526,1487824173,Tampa,FL,33647,YES,955,0,21,0,0,934,0,,01/01/2012,12/31/2012
Orange City Surgery Center,10C0001518,1487840740,Orange City,FL,32763,YES,10622,8130,2227,34,59,172,0,,01/01/2012,12/31/2012
Take Shape Surgery Center,10C0001452,1497704985,Plantation,FL,33317,YES,38,0,0,0,0,38,0,,01/01/2012,12/31/2012
Jacksonville Beach Surgery Center,10C0001349,1497723720,Jacksonville,FL,32250,YES,2165,398,1731,0,0,0,36,,01/01/2012,12/31/2012
Mid Florida Surgery Center,10C0001154,1497728984,Mt. Dora,FL,32757,YES,3354,0,3113,0,0,241,0,,01/01/2012,12/31/2012
"Central Florida Cataract and Laser Surgery Center, I",10C0001005,1508063884,Deland,FL,32720,YES,701,0,701,0,0,0,0,,01/01/2012,12/31/2012
Eye Specialists Laser and Surgery Center,10C0001554,1508182577,Fort Myers,FL,33907,YES,3765,0,3755,0,0,10,0,,01/01/2012,12/31/2012
"Bradenton Surgery Center, Inc.",10C0001242,1508822685,Bradenton,FL,34209,YES,4726,4726,0,0,0,0,0,,01/01/2012,12/31/2012
Manatee Surgical Center,10C0001478,1508857871,Bradenton,FL,34205,YES,8651,7129,1083,95,111,233,0,,01/01/2012,12/31/2012
West Florida Surgery Center,10C0001003,1508879446,Bradenton,FL,34209,YES,1087,1087,0,0,0,0,0,,01/01/2012,12/31/2012
"Ambulatory Ankle and Foot Center of Florida, Inc.",10C0001140,1508887704,Orlando,FL,32806,YES,1265,0,0,0,1167,98,0,,01/01/2012,12/31/2012
Palm Endoscopy Center,10C0001382,1518155811,Altamonte Sp,FL,32701,YES,7814,7814,0,0,0,0,0,,01/01/2012,12/31/2012
"Santa Fe Surgery Center, LLC",10C0001562,1518264332,Lady Lake,FL,32162,YES,2882,6,2579,5,104,188,0,,01/01/2012,12/31/2012
"Countryside Surgery Center, LTD",10C0001159,1518920040,Clearwater,FL,33761,YES,5140,2069,1416,120,1345,168,22,,01/01/2012,12/31/2012
Bonita Community Health Center,10C0001344,1518955897,Bonita Sprin,FL,34135,YES,5674,1241,172,2711,660,878,12,,01/01/2012,12/31/2012
"Atlantic Surgery Center, Inc.",10C0001218,1518976661,Daytona Beac,FL,32114,YES,3582,1,998,0,28,7,2548,,01/01/2012,12/31/2012
Bay Area Physicians Surgery Center,10C0001495,1528176765,Riverview,FL,33578,YES,5488,4358,0,0,598,0,532,,01/01/2012,12/31/2012
"Kissimmee Surgicare, LTD",10C0001131,1538122684,Kissimmee,FL,34741,YES,6575,3025,798,1868,701,7,176,,01/01/2012,12/31/2012
Citrus Regional Surgery Center,10C0001204,1538124490,Lecanto,FL,34461,YES,3187,458,1563,303,836,16,11,,01/01/2012,12/31/2012
Winter Haven Ambulatory Surgical Center,10C0001293,1538126362,Winter Haven,FL,33881,YES,8123,4112,2,3315,552,112,30,,01/01/2012,12/31/2012
Kendall Endoscopy & Surgery Center,10C0001388,1538153994,Miami,FL,33156,YES,8482,8482,0,0,0,0,0,,01/01/2012,12/31/2012
Coastal Medical Center,10C0001343,1538231956,Sarasota,FL,34237,YES,1934,0,0,0,0,0,1934,,01/01/2012,12/31/2012
"Gulf Shore Endoscopy Center, Inc.",10C0001255,1548217128,Naples,FL,34102,YES,5544,5544,0,0,0,0,0,,01/01/2012,12/31/2012
St. Augustine Surgery Center,10C0001286,1548224041,St. Augustin,FL,32086,YES,4530,2616,643,661,364,4,242,,01/01/2012,12/31/2012
"Live Oak Endoscopy Center, LLC",10C0001380,1548254402,Vero Beach,FL,32960,YES,5132,5132,0,0,0,0,0,,01/01/2012,12/31/2012
The Eye Institute Surgery Center,10C0001441,1548274061,Melbourne,FL,32904,YES,5175,0,5175,0,0,0,0,,01/01/2012,12/31/2012
Galloway Surgery Center,10C0001555,1548414816,Miami,FL,33173,YES,10614,10614,0,0,0,0,0,,01/01/2012,12/31/2012
Melbourne Surgery Center,10C0001256,1558323956,Melbourne,FL,32901,YES,1773,0,437,665,645,21,5,,01/01/2012,12/31/2012
Holiday Surgery Center,10C0001084,1558372029,Holiday,FL,34691,YES,867,0,867,0,0,0,0,,01/01/2012,12/31/2012
"Surgery Center of Atlantis, LLC",10C0001431,1558564344,Lake Worth,FL,33463,YES,9882,8522,0,1360,0,0,0,,01/01/2012,12/31/2012
"Orange City Surgical, LLC",10C0001509,1558580910,Orange City,FL,32763,YES,4389,1451,650,1294,888,62,44,,01/01/2012,12/31/2012
"The Brevard Specialty Surgery Center, LLC",10C0001228,1558694034,Melbourne,FL,32901,YES,1035,957,0,0,13,2,63,,01/01/2012,12/31/2012
The Rosato Plastic Surgery Center,10C0001301,1568408060,Vero Beach,FL,32960,YES,135,0,0,2,0,133,0,,01/01/2012,12/31/2012
"Surgicare of Orange Park, LTD",10C0001171,1568426336,Orange Park,FL,32073,YES,4770,2850,1324,236,222,122,16,,01/01/2012,12/31/2012
Florida Endoscopy & Surgery Center,10C0001333,1568437820,Brooksville,FL,34613,YES,9850,6058,0,3471,79,0,242,,01/01/2012,12/31/2012
The Eye Associates Surgery Center,10C0001061,1568460889,Bradenton,FL,34209,YES,5067,0,4273,0,0,794,0,,01/01/2012,12/31/2012
"Suncoast Eye Center, PA",10C0001078,1568556488,Hudson,FL,34667,YES,3151,0,2746,0,0,405,0,,01/01/2012,12/31/2012
Villages Endoscopy and Surgical Center,10C0001423,1568674281,Summerfield,FL,34491,YES,7214,7214,0,0,0,0,0,,01/01/2012,12/31/2012
Clermont Ambulatory Surgery Center,10C0001458,1578508875,Clermont,FL,34711,YES,4189,3033,416,40,612,0,88,,01/01/2012,12/31/2012
Rand Surgical Pavillion Corp.,10C0001147,1578515995,Pompano Beac,FL,33064,YES,3261,0,3193,0,0,68,0,,01/01/2012,12/31/2012
"Mullis Eye Institute, Inc.",10C0001022,1578575064,Panama City,FL,32405,YES,1955,0,1955,0,0,0,0,,01/01/2012,12/31/2012
Pace Surgery Center,10C0001482,1578662227,Pace,FL,32571,YES,85,0,0,0,82,3,0,,01/01/2012,12/31/2012
Bgc Holdings Inc.,10C0001319,1588633481,Jacksonville,FL,32204,YES,13722,13722,0,0,0,0,0,,01/01/2012,12/31/2012
Filutowski Eye Institute - Lake Mary Surgical Center,10C0001285,1588735708,Lake Mary,FL,32746,YES,2480,0,2480,0,0,0,0,,01/01/2012,12/31/2012
"Tallahassee Orthopaedic Surgery Partners, LTD",10C0001163,1588746333,Tallahassee,FL,32308,YES,3384,0,198,602,2584,0,0,,01/01/2012,12/31/2012
Riverwalk Ambulatory Surgery Center,10C0001521,1588839609,Bradenton,FL,34205,YES,2797,0,0,733,0,0,2064,,01/01/2012,12/31/2012
"Florida Eye Institute Surgicenter, LLC",10C0001059,1598700676,Vero Beach,FL,32960,YES,1448,0,1448,0,0,0,0,,01/01/2012,12/31/2012
"Surgicare of St. Andrews, LTD",10C0001197,1598729329,Venice,FL,34285,YES,3076,2,1909,94,740,257,74,,01/01/2012,12/31/2012
"Riverwalk Endoscopy and Surgery Center, LLC",10C0001454,1598735011,Fort Myers,FL,33919,YES,4842,4842,0,0,0,0,0,,01/01/2012,12/31/2012
Total Eye Care Surgery Center,10C0001324,1598791105,Leesburg,FL,34748,YES,1448,0,1448,0,0,0,0,,01/01/2012,12/31/2012
"Surgicare Center, Inc.",10C0001029,1598846925,Ft. Myers,FL,33901,YES,8546,0,8546,0,0,0,0,,01/01/2012,12/31/2012
"Morton Plant Mease Health Services, Inc.",10C0001304,1598927147,Largo,FL,33777,YES,4582,3972,198,294,54,64,0,,01/01/2012,12/31/2012
Lake City Surgery Center,10C0001276,1598965634,Lake City,FL,32055,YES,3179,1809,378,139,146,549,158,,01/01/2012,12/31/2012
"Eye Surgicenter, LLC",10C0001053,1609026533,Gainesville,FL,32606,YES,1265,0,1265,0,0,0,0,,01/01/2012,12/31/2012
Sarasota Physicians Surgical Center,10C0001532,1609030774,Sarasota,FL,34239,YES,3693,37,1929,1179,410,138,0,,01/01/2012,12/31/2012
Center for Gastrointestinal Endoscopy,10C0001350,1609841261,West Palm Be,FL,33401,YES,5470,5470,0,0,0,0,0,,01/01/2012,12/31/2012
Center One Surgery Center,10C0001494,1609931229,Jacksonville,FL,32256,YES,3733,0,0,911,2820,2,0,,01/01/2012,12/31/2012
Surgery Center of Stuart,10C0001046,1609940899,Stuart,FL,34996,YES,2001,647,1190,68,50,25,21,,01/01/2012,12/31/2012
Hernando Endoscopy and Surgery Center,10C0001271,1609969302,Brooksville,FL,34613,YES,5152,4378,72,150,348,129,75,,01/01/2012,12/31/2012
Center for Digestive Health and Pain Management,10C0001232,1619940582,Fort Myers,FL,33919,YES,4262,1829,0,2433,0,0,0,,01/01/2012,12/31/2012
Aesthetic Plastic Surgery Center,10C0001135,1619992518,Venice,FL,34285,YES,691,0,0,0,0,691,0,,01/01/2012,12/31/2012
"Ambulatory Surgery Center Group, LTD",10C0001002,1629032446,Tampa,FL,33613,YES,4362,708,2158,1003,166,262,65,,01/01/2012,12/31/2012
Surgery Center of The Villages,10C0001514,1629262274,Summerfield,FL,34491,YES,3624,0,3410,0,0,214,0,,01/01/2012,12/31/2012
Premier Endoscopy Center,10C0001506,1629262811,Naples,FL,34110,YES,5584,5584,0,0,0,0,0,,01/01/2012,12/31/2012
"Endosurg Outpatient Center, LLC",10C0001346,1639105455,Lady Lake,FL,32159,YES,4129,4129,0,0,0,0,0,,01/01/2012,12/31/2012
The Surgery Center at Sacred Heart Medical Park,10C0001410,1639164916,Destin,FL,32541,YES,2883,0,247,2164,470,2,0,,01/01/2012,12/31/2012
Musculoskeletal Ambulatory Surgery Center,10C0001321,1639237092,Tallahassee,FL,34209,YES,724,0,0,0,724,0,0,,01/01/2012,12/31/2012
Kissimmee Endoscopy Center,10C0001358,1639352347,Kissimmee,FL,34741,YES,7537,7537,0,0,0,0,0,,01/01/2012,12/31/2012
Surgery Center of Lakeland Hills Blvd.,10C0001446,1649244567,Lakeland,FL,33805,YES,5394,5394,0,0,0,0,0,,01/01/2012,12/31/2012
St. John's Surgery Center,10C0001238,1659360303,Fort Myers,FL,33919,YES,7727,0,6850,0,0,877,0,,01/01/2012,12/31/2012
Hallandale Outpatient Surgical Center,10C0001476,1659443042,Hallandale B,FL,33009,YES,1442,0,36,8,1372,26,0,,01/01/2012,12/31/2012
"Surgery Center of Pembroke Pines, LLC",10C0001539,1659517019,Hollywood,FL,33024,YES,2966,2633,0,6,6,3,318,,01/01/2012,12/31/2012
Physicians Ambulatory Surgery Center,10C0001202,1669483137,Ormond Beach,FL,32174,YES,7001,3691,931,0,0,0,2379,,01/01/2012,12/31/2012
"Ocala Specialty Surgery Center, LLC",10C0001138,1669720439,Ocala,FL,34474,YES,4557,0,579,0,0,101,3877,,01/01/2012,12/31/2012
Surgery Center of Port Charlotte,10C0001472,1679523351,Port Charlot,FL,33952,YES,7353,1664,461,4460,404,131,233,,01/01/2012,12/31/2012
"Doctors GI Partnership, LTD",10C0001363,1679556864,Melbourne,FL,32901,YES,8476,8476,0,0,0,0,0,,01/01/2012,12/31/2012
Usf Health Endoscopy and Surgery Center,10C0001525,1679602544,Tampa,FL,33612,YES,5304,2861,1072,572,652,127,20,,01/01/2012,12/31/2012
Orlando Orthopaedic Outpatient Surgery Center,10C0001550,1679704456,Orlando,FL,32806,YES,3264,0,0,1685,1575,4,0,,01/01/2012,12/31/2012
Baptist Endoscopy Center at Coral Springs,10C0001567,1679871867,Coral Spring,FL,33065,YES,5237,5237,0,0,0,0,0,,01/01/2012,12/31/2012
"South County Outpatient Surgery Center, LLC",10C0001477,1689604886,Delray Beach,FL,33484,YES,808,0,774,0,0,34,0,,01/01/2012,12/31/2012
"Surgery Center of SW Florida, Inc.",10C0001354,1689624793,Ft. Myers,FL,33907,YES,3275,0,0,0,0,0,3275,,01/01/2012,12/31/2012
"Florida Outpatient Surgery Center, LTD.",10C0001152,1689636219,Altamonte Sp,FL,32701,YES,2653,1750,0,435,120,4,344,,01/01/2012,12/31/2012
Endoscopy Center of Ocala,10C0001177,1689646937,Ocala,FL,34471,YES,9263,9263,0,0,0,0,0,,01/01/2012,12/31/2012
"Pediatric Surgery Centers, LLC",10C0001437,1689664906,Tampa,FL,33619,YES,849,789,0,0,0,60,0,,01/01/2012,12/31/2012
St. Petersburg Endoscopy Center,10C0001468,1689682247,St. Petersbu,FL,33705,YES,8486,8486,0,0,0,0,0,,01/01/2012,12/31/2012
Safety Harbor Surgery Center,10C0001559,1700190352,Clearwater,FL,33761,YES,2222,1615,155,0,316,120,16,,01/01/2012,12/31/2012
"Surgery Center of Okeechobee, LLC",10C0001310,1700843539,Okeechobee,FL,34972,YES,2374,8,276,0,1968,112,10,,01/01/2012,12/31/2012
"Riverside Surgery Center, Inc.",10C0001268,1700876703,Sebastian,FL,32958,YES,1336,0,1173,0,0,163,0,,01/01/2012,12/31/2012
Weston Outpatient Surgical Center,10C0001331,1700888658,Weston,FL,33326,YES,9879,3982,2,2345,3469,57,24,,01/01/2012,12/31/2012
Brandon Ambulatory Surgery Center,10C0001445,1710071519,Brandon,FL,33511,YES,5609,813,836,3517,298,79,66,,01/01/2012,12/31/2012
New Tampa Surgery Center,10C0001489,1720033293,Wesley Chape,FL,33544,YES,2297,688,312,853,381,44,19,,01/01/2012,12/31/2012
Harborside Surgery Center,10C0001220,1730118555,Punta Gorda,FL,33950,YES,2057,1876,0,94,87,0,0,,01/01/2012,12/31/2012
"Surgery Center of Weston, LLC",10C0001335,1730124561,Weston,FL,33326,YES,4426,453,2465,0,356,1016,136,,01/01/2012,12/31/2012
"Charlotte Endoscopic Surgery Center, LLC",10C0001371,1730175159,Port Charlot,FL,33980,YES,4567,3297,1270,0,0,0,0,,01/01/2012,12/31/2012
"Children’s Surgery Center, LLC",10C0001551,1730401571,Maitland,FL,32751,YES,2814,1002,1376,4,98,42,292,,01/01/2012,12/31/2012
Tallahassee Endoscopy Center,10C0001141,1740201607,Tallahassee,FL,32308,YES,10477,10477,0,0,0,0,0,,01/01/2012,12/31/2012
Sarasota Ambulatory Surgery Center,10C0001356,1740230523,Sarasota,FL,34231,YES,9843,0,0,9367,472,4,0,,01/01/2012,12/31/2012
"North Florida GI Center, LP",10C0001314,1740251909,Gainesville,FL,32605,YES,11136,11136,0,0,0,0,0,,01/01/2012,12/31/2012
Atlantic Surgery and Laser Center,10C0001544,1740413400,Melbourne,FL,32940,YES,1004,0,1004,0,0,0,0,,01/01/2012,12/31/2012
